Seq,DH137,DH138,DH139,DH140,DH141,DH142,DH143,DH144
DH_146,0,0,0,0,0,0,0,0
DH_147,52,41,83,47,33,0,0,0
DH_148,13,19,19,26,309,5,5,0
DH_149,182,185,203,246,120,18,5,0
DH_150,0,0,0,0,118,156,6,0
DH_151,56,143,209,166,827,17,0,0
DH_152,155,163,166,150,0,0,0,0
DH_153,231,282,314,323,0,0,0,0
DH_154,0,0,0,0,0,0,0,0
DH_155,81,79,68,313,181,29,0,0
DH_156,64,88,110,128,0,0,0,0
DH_157,73,71,96,177,151,19,0,0
DH_158,116,115,130,181,0,0,0,0
DH_159,0,0,0,0,0,0,0,0
DH_160,0,0,0,8,684,75,22,0
DH_161,221,242,245,296,46,5,0,0
DH_162,0,0,0,0,0,141,25,0
DH_163,13,0,21,28,0,0,0,0
DH_164,32,24,30,55,105,10,0,0
DH_165,0,0,0,0,0,0,0,0
DH_166,0,0,0,9,0,38,0,0
DH_167,0,8,0,0,13,0,0,0
DH_168,115,73,124,83,153,15,0,0
DH_169,0,0,0,0,48,84,0,0
DH_170,0,0,0,0,0,5,0,0
DH_171,84,106,94,137,0,0,0,0
DH_172,107,107,152,78,30,0,0,0
DH_173,168,208,197,209,247,18,0,0
DH_174,157,140,157,178,0,0,0,0
DH_175,267,259,275,212,0,0,0,0
DH_176,141,168,175,219,36,5,0,0
DH_177,0,0,0,0,122,13,0,0
DH_178,0,0,0,0,0,0,0,0
DH_179,73,48,90,99,84,0,0,0
DH_180,313,352,523,581,45,0,0,0
DH_181,50,71,116,602,39,144,13,0
DH_182,0,0,0,0,0,0,0,0
DH_183,2,0,0,6,56,178,20,0
DH_184,0,0,0,12,146,40,8,0
DH_185,25,22,34,45,178,21,17,0
DH_186,0,0,0,0,98,0,0,0
DH_187,481,405,466,630,77,14,0,0
DH_188,0,0,14,36,0,0,0,0
DH_189,40,65,111,154,14,0,0,0
DH_190,0,0,0,0,0,0,0,0
DH_191,0,0,0,0,0,0,0,0
DH_192,0,0,0,0,0,0,0,0
DH_193,0,0,0,43,87,14,0,0
DH_194,0,0,0,0,0,41,66,0
DH_195,0,8,0,0,0,0,0,0
DH_196,0,0,0,0,430,0,0,0
DH_197,61,41,52,0,0,0,0,0
DH_198,12,0,23,22,29,0,0,0
DH_199,455,518,654,353,0,0,0,0
DH_200,0,0,0,0,156,46,0,0
DH_201,100,123,112,303,0,69,29,0
