ID,Treatment,Bottle,Timepoint,Time,Day,Type,Compound,Peak_Area
F8,D/S,F,T8,5.8,Day 6,Expt,Highly Unsaturated,1057961489
A13,S/S,A,T13,20.84,Day 21,Expt,Highly Unsaturated,880169719.2
B13,S/S,B,T13,20.84,Day 21,Expt,Highly Unsaturated,820904772.8
C13,S/D,C,T13,20.84,Day 21,Expt,Highly Unsaturated,990076529.6
D13,S/D,D,T13,20.84,Day 21,Expt,Highly Unsaturated,560623212.2
E13,D/S,E,T13,20.84,Day 21,Expt,Highly Unsaturated,615087774.6
F13,D/S,F,T13,20.84,Day 21,Expt,Highly Unsaturated,664613828.1
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Lignin,186144059.1
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Lignin,187079242.8
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Lignin,175938601.5
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Lignin,165800122.2
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Lignin,166547789.6
A8,S/S,A,T8,5.8,Day 6,Expt,Lignin,117445670.4
B8,S/S,B,T8,5.8,Day 6,Expt,Lignin,112312598.7
C8,S/D,C,T8,5.8,Day 6,Expt,Lignin,99139814.89
D8,S/D,D,T8,5.8,Day 6,Expt,Lignin,131262073.8
E8,D/S,E,T8,5.8,Day 6,Expt,Lignin,96575915.53
F8,D/S,F,T8,5.8,Day 6,Expt,Lignin,97543428.22
A13,S/S,A,T13,20.84,Day 21,Expt,Lignin,100654416.3
B13,S/S,B,T13,20.84,Day 21,Expt,Lignin,98918459.65
C13,S/D,C,T13,20.84,Day 21,Expt,Lignin,93501759.77
D13,S/D,D,T13,20.84,Day 21,Expt,Lignin,90642929.03
E13,D/S,E,T13,20.84,Day 21,Expt,Lignin,86089433.14
F13,D/S,F,T13,20.84,Day 21,Expt,Lignin,83408452.23
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Lipid,4389061.126
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Lipid,4152838.289
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Lipid,5746899.861
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Lipid,6112173.361
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Lipid,4787061.54
A8,S/S,A,T8,5.8,Day 6,Expt,Lipid,33225329.38
B8,S/S,B,T8,5.8,Day 6,Expt,Lipid,34109702.3
C8,S/D,C,T8,5.8,Day 6,Expt,Lipid,9807375.081
D8,S/D,D,T8,5.8,Day 6,Expt,Lipid,36874576.83
E8,D/S,E,T8,5.8,Day 6,Expt,Lipid,22168300.13
F8,D/S,F,T8,5.8,Day 6,Expt,Lipid,24544531.18
A13,S/S,A,T13,20.84,Day 21,Expt,Lipid,9250998.968
B13,S/S,B,T13,20.84,Day 21,Expt,Lipid,7898456.509
C13,S/D,C,T13,20.84,Day 21,Expt,Lipid,5661814.087
D13,S/D,D,T13,20.84,Day 21,Expt,Lipid,5212845.533
E13,D/S,E,T13,20.84,Day 21,Expt,Lipid,14237776.93
F13,D/S,F,T13,20.84,Day 21,Expt,Lipid,7396418.568
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Peptides,106489881.3
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Peptides,88551160.18
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Peptides,168666891.4
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Peptides,88443896.48
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Peptides,101217312.1
A8,S/S,A,T8,5.8,Day 6,Expt,Peptides,1144602292
B8,S/S,B,T8,5.8,Day 6,Expt,Peptides,651274286.5
C8,S/D,C,T8,5.8,Day 6,Expt,Peptides,189888755.8
D8,S/D,D,T8,5.8,Day 6,Expt,Peptides,1142376075
E8,D/S,E,T8,5.8,Day 6,Expt,Peptides,425083254.4
F8,D/S,F,T8,5.8,Day 6,Expt,Peptides,543608737.3
A13,S/S,A,T13,20.84,Day 21,Expt,Peptides,137200595.5
B13,S/S,B,T13,20.84,Day 21,Expt,Peptides,139900270.4
C13,S/D,C,T13,20.84,Day 21,Expt,Peptides,183818847.7
D13,S/D,D,T13,20.84,Day 21,Expt,Peptides,68494909.98
E13,D/S,E,T13,20.84,Day 21,Expt,Peptides,343533340.7
F13,D/S,F,T13,20.84,Day 21,Expt,Peptides,172175708.9
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Polyphenols,139578040.1
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Polyphenols,168797064.6
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Polyphenols,216035281.4
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Polyphenols,101332322.7
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Polyphenols,114512483.1
A8,S/S,A,T8,5.8,Day 6,Expt,Polyphenols,893097315.5
B8,S/S,B,T8,5.8,Day 6,Expt,Polyphenols,627937617.6
C8,S/D,C,T8,5.8,Day 6,Expt,Polyphenols,731650653.8
D8,S/D,D,T8,5.8,Day 6,Expt,Polyphenols,702921072.5
E8,D/S,E,T8,5.8,Day 6,Expt,Polyphenols,649612379.8
F8,D/S,F,T8,5.8,Day 6,Expt,Polyphenols,672823901.2
A13,S/S,A,T13,20.84,Day 21,Expt,Polyphenols,702636453.7
B13,S/S,B,T13,20.84,Day 21,Expt,Polyphenols,668494360.9
C13,S/D,C,T13,20.84,Day 21,Expt,Polyphenols,751360199.7
D13,S/D,D,T13,20.84,Day 21,Expt,Polyphenols,630699069.2
E13,D/S,E,T13,20.84,Day 21,Expt,Polyphenols,582157902.4
F13,D/S,F,T13,20.84,Day 21,Expt,Polyphenols,383000135.9
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Protein,154833564
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Protein,160429478.5
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Protein,250545337.7
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Protein,142654414.3
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Protein,138277412.8
A8,S/S,A,T8,5.8,Day 6,Expt,Protein,432288658.3
B8,S/S,B,T8,5.8,Day 6,Expt,Protein,274905603.8
C8,S/D,C,T8,5.8,Day 6,Expt,Protein,168014928.4
D8,S/D,D,T8,5.8,Day 6,Expt,Protein,501257104.7
E8,D/S,E,T8,5.8,Day 6,Expt,Protein,283207427
F8,D/S,F,T8,5.8,Day 6,Expt,Protein,407975490.2
A13,S/S,A,T13,20.84,Day 21,Expt,Protein,248820095.6
B13,S/S,B,T13,20.84,Day 21,Expt,Protein,247819851
C13,S/D,C,T13,20.84,Day 21,Expt,Protein,286361203.1
D13,S/D,D,T13,20.84,Day 21,Expt,Protein,154089878.2
E13,D/S,E,T13,20.84,Day 21,Expt,Protein,165463963.7
F13,D/S,F,T13,20.84,Day 21,Expt,Protein,140811809.5
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Saturated Fatty Acids,26421787.65
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Saturated Fatty Acids,27741483.53
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Saturated Fatty Acids,34365714.4
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Saturated Fatty Acids,21305991.95
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Saturated Fatty Acids,28754972.28
A8,S/S,A,T8,5.8,Day 6,Expt,Saturated Fatty Acids,492230822.6
B8,S/S,B,T8,5.8,Day 6,Expt,Saturated Fatty Acids,343981745.1
C8,S/D,C,T8,5.8,Day 6,Expt,Saturated Fatty Acids,242095738.6
D8,S/D,D,T8,5.8,Day 6,Expt,Saturated Fatty Acids,545159805.7
E8,D/S,E,T8,5.8,Day 6,Expt,Saturated Fatty Acids,332290284.1
F8,D/S,F,T8,5.8,Day 6,Expt,Saturated Fatty Acids,388042883.3
