Seq_ID,Cruise,Date,Sample_ID,Day,Month,Year,Depth,Treatment,Bottle,Timepoint,Time,Day2,Type1,Type2,Filter,Temp,Salinity,pH,DO,DIC ,TA,Bacteria,Cyanobacteria,BP,pCO2 ,Phosphate ,Silicate,Nitrite,Nitrate,Ammonia,DOC,TOC,Asp,Glu,His,Ser,Arg,Thr,Gly,BAla,Tyr,Ala,GABA,Met,Val,Ile,Leu,Lys,TDAA ave (nM),TDAA stdev,TDAA C (nM),DOC (uM),TDAA yield,Mol% BAla+GABA,Degradation index
DH143f0,36,09/08/2018,11,9,8,2018,23,D/S,F,T0,0,Day 0,Profile,Expt,Supor,22.400,36.410,7.509,1.563,2502.890,2562.607,71.796,0.695,246.710,1808.682,0.227,48.105,0.537,0.000,38.099,106.57,145.80,186.013,162.500,19.038,160.839,64.492,112.076,384.835,41.053,33.801,174.523,9.913,9.791,74.073,37.064,71.005,76.620,1617.636,111.342,6276.265,106.573,5.889,3.151,2.328
DH142,36,09/08/2018,10,9,8,2018,22,Deep,,T0,0,Day 0,Profile,Expt,Supor,23.200,36.420,7.557,1.563,2447.806,2529.701,68.272,0.347,808.448,1585.726,0.085,33.839,1.012,0.000,34.554,105.79,108.72,162.297,147.770,29.828,194.240,76.767,112.370,373.630,44.031,32.601,196.327,19.451,6.363,75.381,34.972,66.263,71.762,1644.052,161.013,6346.058,105.787,5.999,3.861,2.239
DH143,36,09/08/2018,11,9,8,2018,23,Deep,,T0,0,Day 0,Profile,Expt,Supor,22.400,36.410,7.509,1.563,2502.890,2562.607,71.796,0.695,246.710,1808.682,0.227,48.105,0.537,0.000,38.099,106.57,145.80,186.013,162.500,19.038,160.839,64.492,112.076,384.835,41.053,33.801,174.523,9.913,9.791,74.073,37.064,71.005,76.620,1617.636,111.342,6276.265,106.573,5.889,3.151,2.328
DH144,36,09/08/2018,12,9,8,2018,24,Deep,,T0,0,Day 0,Profile,Expt,Supor,22.000,36.414,7.122,1.313,2754.454,2658.445,67.869,0.483,74.996,4784.979,1.822,66.333,0.399,0.000,79.249,114.84,139.34,210.418,174.448,21.679,167.667,73.878,111.095,407.491,45.368,39.263,205.613,15.390,13.140,86.271,44.176,83.858,89.616,1789.372,176.375,7020.447,114.840,6.113,3.395,2.416
DH178,36,08/09/2018,C0,8,9,2018,24,S/D,C,T0,0,Day 0,Expt,Expt,Supor,21.800,36.080,7.950,1.563,2754.454,2658.445,17.089,0.483,74.996,4784.979,1.822,66.333,0.399,0.000,79.249,94.73,97.88,173.938,186.542,27.560,263.048,94.713,70.056,658.028,33.595,48.735,199.986,44.056,8.809,75.696,48.415,102.341,89.691,2125.208,293.572,7928.308,94.734,8.369,3.654,1.606
DH178a,36,08/09/2018,D0,8,9,2018,24,S/D,D,T0,0,Day 0,Expt,Expt,Supor,21.800,36.080,7.950,1.563,2754.454,2658.445,17.225,0.483,74.996,4784.979,1.822,66.333,0.399,0.000,79.249,94.41,95.65,219.636,211.738,27.561,253.207,95.711,101.620,566.963,33.528,50.392,217.573,62.014,7.372,83.053,48.905,91.442,85.604,2156.322,149.021,8239.625,94.411,8.727,4.431,1.868
DH181,36,15/09/2018,C8,15,9,2018,24,S/D,C,T8,5.8,Day 6,Expt,Expt,Supor,25.600,36.600,8.320,154.375,,,19.649,,,,0.126,4.603,3.728,0.075,1.463,89.75,91.61,49.199,49.264,7.862,70.226,27.164,35.347,209.076,29.139,10.310,77.066,14.957,3.392,25.091,9.743,18.866,21.926,658.627,116.815,2340.343,89.748,2.608,6.695,0.822
DH182,36,15/09/2018,D8,15,9,2018,24,S/D,D,T8,5.8,Day 6,Expt,Expt,Supor,25.400,36.610,8.270,152.813,,,20.364,,,,0.058,4.177,3.603,0.026,1.307,93.04,92.04,67.469,75.863,13.998,75.344,47.467,52.471,226.311,45.714,19.462,186.384,24.280,7.972,37.926,18.187,34.618,32.884,966.352,173.872,3618.725,93.041,3.889,7.243,1.138
DH183,36,15/09/2018,E8,15,9,2018,24,D/S,E,T8,5.8,Day 6,Expt,Expt,Supor,22.400,36.390,8.250,140.938,,,14.549,,,,0.030,3.130,2.224,0.118,1.079,90.59,91.57,72.301,90.379,11.288,99.271,49.643,63.849,247.847,23.745,24.342,118.294,20.495,6.851,52.536,29.614,56.327,46.373,1013.154,44.388,3973.576,90.586,4.387,4.367,2.843
DH184,36,15/09/2018,F8,15,9,2018,24,D/S,F,T8,5.8,Day 6,Expt,Expt,Supor,22.400,36.360,8.130,152.813,,,14.504,,,,0.010,3.258,2.175,0.075,0.673,96.22,96.13,66.899,62.311,8.751,73.209,38.263,57.013,205.449,27.079,15.834,102.743,23.098,7.774,39.463,19.599,39.831,32.691,820.008,104.978,3133.090,96.223,3.256,6.119,2.273
DH187,36,30/09/2018,C13,30,9,2018,24,S/D,C,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,14.220,,,,0.005,4.234,3.591,0.113,2.080,84.82,82.48,,,,,,,,,,,,,,,,,,,,,,,
DH188,36,30/09/2018,D13,30,9,2018,24,S/D,D,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,13.896,,,,0.169,4.575,6.306,0.000,0.004,79.46,82.32,,,,,,,,,,,,,,,,,,,,,,,
DH189,36,30/09/2018,E13,30,9,2018,24,D/S,E,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,12.756,,,,0.022,3.412,2.592,0.119,0.960,84.28,79.59,,,,,,,,,,,,,,,,,,,,,,,
DH190,36,30/09/2018,F13,30,9,2018,24,D/S,F,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,11.959,,,,0.020,3.284,2.364,0.174,1.065,82.14,81.58,,,,,,,,,,,,,,,,,,,,,,,
DH36_A4,36,11/08/2018,A4,11,8,2018,1,S/S,A,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,7.92,,,,0.01,1.69,0.03,0.00,0.00,97.73,96.97,169.59,146.40,15.69,140.95,62.57,69.10,249.66,24.52,25.54,169.29,2.91,10.86,66.14,45.80,75.31,48.31,1322.65,137.70,5303.01,97.73,5.43,2.07,2.72
DH36_B4,36,11/08/2018,B4,11,8,2018,1,S/S,B,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,7.74,,,,0.00,1.62,0.00,0.01,0.14,93.89,94.51,127.27,114.34,8.69,106.33,41.17,57.88,220.62,23.50,19.72,133.46,3.58,9.86,45.73,35.68,35.25,36.76,1019.85,21.38,3958.48,93.89,4.22,2.66,1.96
DH36_C4,36,11/08/2018,C4,11,8,2018,1,S/D,C,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,9.21,,,,0.03,4.13,3.61,0.02,0.78,91.03,91.03,122.12,99.43,13.72,106.95,38.87,46.27,208.15,25.67,14.53,123.89,2.56,7.12,40.76,32.24,39.96,34.66,956.91,213.11,3693.67,91.03,4.06,2.95,1.86
DH36_D4,36,11/08/2018,D4,11,8,2018,1,S/D,D,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,9.71,,,,0.05,4.55,3.73,0.07,0.62,91.26,92.53,76.39,65.88,6.95,78.80,30.54,30.95,199.36,28.31,8.77,100.24,5.00,2.91,25.27,18.61,14.94,25.30,718.20,130.10,2597.29,91.26,2.85,4.64,0.61
DH36_E4,36,11/08/2018,E4,11,8,2018,24,D/S,E,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,10.72,,,,0.03,3.15,2.19,0.06,0.33,93.08,95.64,75.65,52.87,5.61,79.39,21.41,26.78,165.61,24.17,5.66,78.10,3.48,2.30,18.73,14.63,4.08,15.87,594.35,18.06,2089.97,93.08,2.25,4.65,0.03
