Seq,Phylum,Class,Order,Family,Genus,Lineage
DH_13843,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14164,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14168,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14199,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14256,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14313,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15286,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15389,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15721,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_16226,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_16399,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_16564,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_16859,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_16936,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_17486,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_17785,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_18317,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_18985,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_19208,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_19416,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_19942,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_21332,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_21925,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22036,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22100,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22264,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22619,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22629,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22789,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22833,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22880,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_22931,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_23319,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_23551,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_23984,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_24233,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_24570,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_24783,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_25049,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_26112,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_26162,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_26579,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_26602,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_26948,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_27167,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_27352,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_27399,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_27422,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_27955,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_28296,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_28448,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_29517,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_29534,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_29679,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_29929,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_30073,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_30108,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_30498,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_30816,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31066,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31132,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31299,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31460,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31499,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_31500,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_32535,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_32689,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_32885,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_32890,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_32897,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_33083,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_33098,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_33417,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_33485,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_33839,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_34174,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_35499,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_2273,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_3349,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_3641,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_4537,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_5038,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_5736,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_5904,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_6307,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_6612,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_6754,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_8683,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_10127,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_10681,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_12248,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_12901,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_13095,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_13523,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_14043,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_14467,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_17883,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_17906,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_18501,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_19600,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_19941,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_21039,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_23883,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_24125,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_24305,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_24696,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_26735,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_26966,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_27910,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_28839,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_28974,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_29374,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_30828,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_31514,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_32761,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_32786,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_33552,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_33629,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_33973,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacterales
DH_4457,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacterales
DH_5960,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacterales
DH_25146,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacterales
DH_3547,Bacteria,Acetothermia,Acetothermiia,NA,NA,Acetothermia
DH_5099,Bacteria,Acetothermia,Acetothermiia,NA,NA,Acetothermia
DH_30911,Bacteria,Acetothermia,Acetothermiia,NA,NA,Acetothermia
DH_7455,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasmatales
DH_17312,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasmatales
DH_32666,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasmatales
DH_5395,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcales
