Timepoint,Day,Treatment,Bacteria,Bacteria_SD,DOC,DOC_SD
T2,1 Day,S/S,0.099496537,0.041677705,,
T4,1 Day,S/D,0.569913626,0.039881649,,
T8,1 Day,D/S,-4.467081243,0.060118258,,
T2,2 Days,S/S,-0.146243266,0.308145354,0.468155507,0.656754735
T4,2 Days,S/D,1.417693241,0.009034297,-6.032820603,1.020239491
T8,2 Days,D/S,-4.052536858,0.210015568,-1.868954345,0.771213097
T2,6 Days,S/S,1.461841751,0.344205773,-3.383550543,1.750377746
T4,6 Days,S/D,11.96368574,0.159134371,-6.570041128,2.318594314
T8,6 Days,D/S,0.328487234,0.98544448,-1.300898745,3.681595423
