"","Bottle","k","k_se","k_p","n0","n0_se","n0_p","r","r_se","r_p","sigma","df","t_mid","t_gen","auc_l","auc_e","note","stationary"
"1","E",6,1,0.01,0,0,1,8.67,182.796955799682,0.96,1,4,3.8,0.1,12,12,NA,7.6
"2","F",8,2,0.01,0,0,1,8.25,67.0637106615536,0.91,2,4,3.9,0.1,15,16,NA,7.8
