Timepoint,Day,Treatment,Bacteria,Bacteria_SD,DOC,DOC_SD,TOC,TOC_SD,MOL_%,MOL_%_SD,DI,DI_SD,TDAA,TDAA_SD,TDAA_C,TDAA_C_SD,Yield,Yield_SD,Phosphate,PO4_SD,Silicate,SO3_SD,Nitrite,NO2_SD,Nitrate,NO3_SD,Ammonium,NH4_SD,Glu,Glu_SD,Ser,Ser_SD,Leu,Leu_SD,Gly,Gly_SD,Asp,Asp_SD,Ala,Ala_SD,Leu,Leu_SD
T11,11.8645833,S/S,10.062,0.219,90.53,1.274,89.73156266,2.244459396,4.75,1.36,1.65,0.34,637.3878944,83.79615123,2383.492838,350.898913,2.674599815,0.390282835,0.005,0.00707107,1.53,0.01414214,0,0,0.025,0.03535534,0.525,0.04949748,59.97,10.74802307,71.455,6.97914393,23.165,6.724585489,149.385,16.63822256,68.855,10.13284017,84.53,10.26719046,23.165,6.724585489
T12,16.8645833,S/S,8.751,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,20.84375,S/S,8.724,0.686,84.877,0.745,83.77746023,4.170433627,,,,,,,,,,,0.005,0.00707107,1.72,0.05656854,0.02,0.01414214,0.03,0.01414214,0.735,0.07778175,,,,,,,,,,,,,,
T0,0,S/D,8.043,0.347,100.669,2.329,99.31278212,3.576349726,3.86,2.38,1.81,0.63,1870.103797,354.4203123,7135.668465,1588.310713,7.171756404,1.686668527,0.155,0.14849242,4.11,0.45254834,3.485,0.26162951,0.03,0,0.655,0.09192388,186.88,54.37651147,228.21,61.29201579,84.31,30.34902305,478.58,8.796408358,194.975,57.15544112,199.035,56.30691299,84.31,30.34902305
T1,0.62847222,S/D,8.713,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,0.92708333,S/D,8.613,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,1.59375,S/D,8.684,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,2,S/D,9.461,0.356,93.444,0.857,99.88205695,5.983600458,3.79,1.19,1.24,0.88,837.5540837,168.7881035,3145.479597,775.2585102,3.451875139,0.856846532,0.04,0.01414214,4.34,0.29698485,3.67,0.08485281,0.045,0.03535534,0.7,0.11313709,82.655,23.72343251,92.875,19.90505589,27.45,17.69181167,203.755,6.215468607,99.255,32.3359931,112.065,16.72307538,27.45,17.69181167
T5,2.71875,S/D,9.496,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,3.71875,S/D,13.216,1.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T7,4.55208333,S/D,15.649,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T8,5.9,S/D,20.007,0.506,92.48,2.747,92.20207631,3.030347045,6.97,0.39,0.98,0.22,812.4896489,217.594203,2979.534097,903.9526908,3.248541532,0.906303672,0.095,0.04949748,4.39,0.29698485,3.665,0.09192388,0.05,0.02828427,1.385,0.10606602,62.56,18.80904038,72.785,3.613315652,26.745,11.1369318,217.695,12.18344984,58.335,12.91884089,131.725,77.29384225,26.745,11.1369318
T9,6.78125,S/D,18.786,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T10,8.80208333,S/D,17.006,0.128,89.951,1.58,87.05536723,4.126190776,,,,,,,,,,,0.09,0.09899495,4.455,0.03535534,3.625,0.1767767,0.1,0.02828427,1.615,0.27577165,,,,,,,,,,,,,,
T11,11.8645833,S/D,14.695,0.196,86.919,1.852,86.7998161,1.762145651,3.83,0.01,2.31,0.15,826.229341,18.14600918,3174.27884,42.87860885,3.743106507,0.095601956,0.095,0.10606602,4.185,0.28991378,3.715,0.1767767,0.095,0.12020815,1.875,0.33234019,79.345,3.344615075,84.045,4.900249994,40.38,1.301076477,195.17,17.33825827,85.49,13.97243,101.195,5.140666299,40.38,1.301076477
T12,16.8645833,S/D,14.306,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,20.84375,S/D,14.058,0.229,80.86,3.279,83.43013183,2.421071821,,,,,,,,,,,0.085,0.12020815,4.4,0.24041631,4.95,1.92333045,0.055,0.07778175,1.04,1.47078211,,,,,,,,,,,,,,
T0,0,D/S,17.619,0.156,97.451,1.471,100.5817006,2.40952628,4.04,0.55,1.74,0.19,2140.764647,22.00093939,8083.966333,220.1340636,8.548205563,0.253384784,0.05,0.05656854,3.345,0.09192388,2.11,0.08485281,0.105,0.00707107,0.38,0.09899495,199.14,42.22963743,258.13,50.93453479,96.89,23.38400625,612.495,140.9639104,196.79,63.81899975,208.78,59.33669198,96.89,23.38400625
T1,0.62847222,D/S,14.74,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,0.92708333,D/S,13.152,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
